username,product_name,review,rating
B***i,Sony PS5 Slim Console Digital Edition Sony Playstation 5,"barang sesuai pesanan, recommended 👍🏻👍🏻",5
K***y,Sony PS5 Slim Console Digital Edition Sony Playstation 5,"belum dirunning, 
semoga tdk ada kendala",5
A***i,SONY ZV-1 / SONY ZV 1 / SONY ZV1 Digital Compact Camera 4K Video,"finally i got this camera🥹 
cepettt bgttt nyampe kameranya dan dtg dgn kondisi sangat memuaskan🤍.. co pagi dan sorenya udah dtgg plus adminnya responsif dan ramahhh
ter...",5
Heru,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"Terpercaya, palet sampai barang jg sesuai diskripsi, berfungsi. suara bagus Sony the best",5
Galuh,Playstation 5 Sony PS5 Rise of the Ronin,game samurai terbaik dari sony interactive entertainment,5
Galuh,LEGO Horizon Adventures PS5 Playstation 5 Game PS 5,Game asik dengan grafik menarik dari franchise horizon,5
R***n,Sony SEL PZ 18-105MM F4 G OSS Lensa Kamera,sesuai deskripsi recommanded .........,5
R***k,Sony MDR EX15AP / Sony EX15AP / MDR EX15AP / EX15AP InEar Headset,berfungai dengan baik,5
A***d,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,mantap joss kualitas bagus,5
omar,Sony PS5 Slim Console Digital Edition Sony Playstation 5,"barang lengkap, berfungsi dengan baik, resmi sony. original, sayangnya bagian dus rada penyok mungkin faktor pengiriman, pengiriman cepat banget diluar dugaan, seller ram...",4
X***z,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"sangat cepat, berfungsi dengan baik",5
Don,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,DElivery right on time and Headphones are great.,5
h***i,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,original berkualitas bagus kuat packing rapi,5
Marlon,Sony WI C100 Wireless In-Ear Headphones,"Headphones berkualitas, 3 hari pakai dan sangat puas dengan product sony ini, battery'nya gila sih boleh tahan 18 - 20 jam tergantung pemakaian, kualitas suara juga k...",5
R***d,SONY 128GB SF-G Tough Series UHS-II SDXC Memory Card / SF-G128T,"Ada harga, ada kualitas. emang ini puas banget pakenya. Langsung dipake kerja dan performanya mantap banget 👍🏼",5
G***a,Sony 64GB SF-M Tough Series UHS-II SDXC Memory Card / 64 GB SF M Tough,Barang oke pengiriman cepat respon seller baik,5
A***a,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Nyaman dipake dan empuk,5
a***m,Sony PS5 Slim Console Digital Edition Sony Playstation 5,"Paket sampai dengan baik, produk berkualitas dan seller responsif terima kasih",5
a***m,DualSense Wireless Controller PS5 / Stik Wireless PS / Stick PS5,Barang berkualitas dan berfungsi dengan baik terima kasih,5
Mochammad,Playstation 5 Sony PS5 Rise of the Ronin,Barang sampai dengan aman. Dan berfungsi dengan baik.,5
A***l,Sony MDR EX155AP / Sony EX155AP / MDR EX155AP / EX155AP Headphone,Suka banget sama kualitas suaranya 🥰,5
Jannie,Sony MDR EX155AP / Sony EX155AP / MDR EX155AP / EX155AP Headphone,Cepat dan bagus brgnya,5
Robert,SONY HT-S100F Soundbar 2ch Bluetooth,Product is amazing. I have one and two different countries.,5
Eko,Sony Playstation 5 PS5 PlayStation Portal Remote Player,👍👍👍👍👍👍👍👍👍👍👍,5
C***e,Sony WF-C510 Truly WF C510 Wireless Earphone WFC510 Ear-phone Bluetooth C510,Original and works great.,5
I***w,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,Mntap,5
H***i,Sony WF 1000XM5 / WF 1000XM5/ WF1000XM5 Headphone Noise Canceling,"kualitas oke, proses pengiriman cepat
ty wireless charger padnya",5
M***a,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Bagus bgt,5
Amyramadhani,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Barang bagus. kirim cepat.recommended seller,5
H***m,Sony MDR EX15AP / Sony EX15AP / MDR EX15AP / EX15AP InEar Headset,"baru pakai 2 hari, earbud yg sebelah kanan uda tidak keluar suara",1
tengku,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"headphonenya langsung sampai ga sampe 2 jam, kualitas suara ya emg kelasnya sony. mantap.",5
Botz,Sony PS5 Slim Console Digital Edition Sony Playstation 5,istimewa luar biasa barang mqntap pelayanan memuaskan,5
